,Region,15-64_percentage,0-14_percentage,Size,Dentální hygienistka,Fyzioterapeut,Optometrista,chirurgie,Discretization_chirurgie,dětské lékařství,kardiologie,ortopedie a traumatologie pohybového ústrojí,praktické lékařství pro děti a dorost,zubní lékařství
41,Cheb,0.5915473812984243,0.1473143801168979,medium,-0.3337590379917144,51.0,7.0,14.0,Medium,13.0,8.0,9.0,20.0,43.0
42,Jihlava,0.5920068642378257,0.1560520538035112,medium,1.426728195371175,17.0,7.0,20.0,Medium-Big,4.0,9.0,15.0,50.0,60.0
43,Chrudim,0.5891778638123434,0.1504167615577317,medium,-0.7738808463324368,16.0,4.0,20.0,Medium-Big,3.0,5.0,10.0,25.0,48.0
44,Znojmo,0.5921696438246548,0.1518725670798289,medium,0.3264236745193691,28.0,9.0,11.0,Small-Medium,7.0,5.0,10.0,20.0,63.0
45,Tábor,0.5814303193327542,0.1485705212623871,medium,-0.5538199421620756,37.0,13.0,12.0,Small-Medium,10.0,8.0,13.0,14.0,57.0
46,Blansko,0.5821355506580853,0.1589063227120668,medium,0.3264236745193691,20.0,9.0,9.0,Small-Medium,10.0,5.0,17.0,22.0,54.0
47,Most,0.5981993768397859,0.1508323148164087,medium,-0.3337590379917144,23.0,13.0,8.0,Small,3.0,3.0,8.0,33.0,48.0
48,Svitavy,0.5918303796309017,0.1504052754499244,medium,-0.993941750502798,29.0,7.0,15.0,Medium,7.0,5.0,11.0,35.0,38.0
49,Prostějov,0.5871528880420592,0.1511149924138174,medium,-0.7738808463324368,23.0,9.0,27.0,Big,6.0,4.0,22.0,31.0,68.0
50,Havlíčkův Brod,0.5832576170573627,0.1508066307266743,medium,-0.11369813382135326,26.0,4.0,10.0,Small-Medium,9.0,3.0,14.0,35.0,54.0
51,Karlovy Vary,0.5864681186260297,0.1396763678110832,medium,0.7665454828600914,51.0,9.0,21.0,Medium-Big,12.0,13.0,23.0,23.0,65.0
52,Mělník,0.592424414094843,0.1642974803245683,medium,0.5464845786897302,17.0,8.0,11.0,Small-Medium,3.0,9.0,13.0,21.0,42.0
53,Vyškov,0.5909734934276525,0.1628970039196219,medium,-0.7738808463324368,17.0,11.0,6.0,Small,7.0,1.0,8.0,19.0,34.0
54,Benešov,0.5790965881787602,0.1610475732820759,medium,1.6467890995415362,25.0,2.0,11.0,Small-Medium,2.0,6.0,8.0,30.0,48.0
55,Náchod,0.5768085921180894,0.1472723158334493,medium,0.5464845786897302,23.0,6.0,12.0,Small-Medium,2.0,6.0,12.0,22.0,58.0
56,Kroměříž,0.5856425244314549,0.1459950680427436,medium,-0.7738808463324368,35.0,6.0,8.0,Small,11.0,7.0,15.0,23.0,52.0
57,Kolín,0.5874218374218374,0.1647981647981648,medium,0.10636277034900792,22.0,7.0,13.0,Small-Medium,5.0,5.0,6.0,27.0,44.0
58,Česká Lípa,0.5985012489592006,0.1548709408825978,medium,-0.3337590379917144,21.0,3.0,12.0,Small-Medium,3.0,4.0,9.0,25.0,51.0
59,Bruntál,0.5894508625113902,0.1392167747206133,medium,-0.11369813382135326,31.0,6.0,14.0,Medium,4.0,7.0,17.0,23.0,43.0
