,Region,Domain,Facility_ID
154,Blansko,všeobecné praktické lékařství,30181
155,Blansko,všeobecné praktické lékařství,30182
156,Blansko,všeobecné praktické lékařství,32114
157,Blansko,všeobecné praktické lékařství,32168
158,Blansko,všeobecné praktické lékařství,34739
159,Blansko,všeobecné praktické lékařství,34764
160,Blansko,všeobecné praktické lékařství,39029
161,Blansko,všeobecné praktické lékařství,40786
162,Blansko,všeobecné praktické lékařství,40787
163,Blansko,všeobecné praktické lékařství,41604
164,Blansko,všeobecné praktické lékařství,41645
165,Blansko,všeobecné praktické lékařství,42349
166,Blansko,všeobecné praktické lékařství,44361
167,Blansko,všeobecné praktické lékařství,44736
168,Blansko,všeobecné praktické lékařství,45118
169,Blansko,všeobecné praktické lékařství,46627
170,Blansko,všeobecné praktické lékařství,46927
171,Blansko,všeobecné praktické lékařství,46929
172,Blansko,všeobecné praktické lékařství,48477
173,Blansko,všeobecné praktické lékařství,48478
174,Blansko,všeobecné praktické lékařství,48480
175,Blansko,všeobecné praktické lékařství,48481
176,Blansko,všeobecné praktické lékařství,48482
177,Blansko,všeobecné praktické lékařství,50624
178,Blansko,všeobecné praktické lékařství,53064
179,Blansko,všeobecné praktické lékařství,53065
180,Blansko,všeobecné praktické lékařství,53068
181,Blansko,všeobecné praktické lékařství,53070
182,Blansko,všeobecné praktické lékařství,53072
183,Blansko,všeobecné praktické lékařství,53078
184,Blansko,všeobecné praktické lékařství,55950
185,Blansko,všeobecné praktické lékařství,55951
186,Blansko,všeobecné praktické lékařství,55956
187,Blansko,všeobecné praktické lékařství,55957
188,Blansko,zubní lékařství,5789
189,Blansko,zubní lékařství,8645
190,Blansko,zubní lékařství,10478
191,Blansko,zubní lékařství,10569
192,Blansko,zubní lékařství,12863
193,Blansko,zubní lékařství,13299
194,Blansko,zubní lékařství,13300
195,Blansko,zubní lékařství,14123
196,Blansko,zubní lékařství,14603
197,Blansko,zubní lékařství,17474
198,Blansko,zubní lékařství,21639
199,Blansko,zubní lékařství,21727
200,Blansko,zubní lékařství,22071
201,Blansko,zubní lékařství,23233
202,Blansko,zubní lékařství,23234
203,Blansko,zubní lékařství,23820
204,Blansko,zubní lékařství,23825
